,actual_target,new_model_prediction,new_model_probability,reference_prediction,reference_probability,new_model_correct,reference_correct,comparison_status
60,1,1,0.6032698412698413,1,0.91,True,True,both_correct
61,1,1,0.5679823232323232,1,0.91625,True,True,both_correct
62,1,1,0.7073796296296297,1,0.912158008658,True,True,both_correct
63,1,1,0.5855555555555556,1,0.795333333333,True,True,both_correct
64,1,1,0.615010101010101,1,0.599035714286,True,True,both_correct
65,1,1,0.6103939393939394,1,0.921666666667,True,True,both_correct
66,1,1,0.6143888888888889,1,0.985,True,True,both_correct
67,1,1,0.5899444444444445,1,0.530166666667,True,True,both_correct
73,1,1,0.6233333333333333,1,0.95,True,True,both_correct
74,1,1,0.68,1,0.96,True,True,both_correct
75,1,1,0.5633333333333334,1,0.745,True,True,both_correct
76,1,0,0.47333333333333333,1,0.935,False,True,reference_only_correct
77,1,0,0.37666666666666665,1,0.83,False,True,reference_only_correct
78,1,0,0.4266666666666667,1,0.85,False,True,reference_only_correct
79,1,1,0.5533333333333333,1,0.915,True,True,both_correct
80,1,1,0.56,1,0.883333333333,True,True,both_correct
81,1,1,0.59,1,0.9,True,True,both_correct
82,1,0,0.46,1,0.91,False,True,reference_only_correct
83,1,1,0.61,1,0.955,True,True,both_correct
84,1,1,0.6366666666666667,1,0.97,True,True,both_correct
85,1,1,0.58,1,0.91,True,True,both_correct
86,1,1,0.6466666666666666,1,0.925,True,True,both_correct
87,1,1,0.56,1,0.8625,True,True,both_correct
88,1,1,0.6333333333333333,1,0.965,True,True,both_correct
89,1,1,0.69,1,0.855,True,True,both_correct
90,1,1,0.62,1,0.96,True,True,both_correct
91,1,1,0.6666666666666666,1,0.89,True,True,both_correct
92,1,1,0.6566666666666666,1,0.82,True,True,both_correct
93,1,1,0.7033333333333334,1,0.98,True,True,both_correct
94,1,1,0.6833333333333333,1,0.855,True,True,both_correct
95,1,1,0.64,1,0.91,True,True,both_correct
96,1,1,0.5883333333333334,1,0.8775,True,True,both_correct
97,1,1,0.5833333333333334,1,0.93,True,True,both_correct
98,1,1,0.5666666666666667,1,0.94,True,True,both_correct
99,1,1,0.6533333333333333,1,0.975,True,True,both_correct
100,1,1,0.73,1,0.95,True,True,both_correct
101,1,1,0.7133333333333334,1,0.99,True,True,both_correct
102,1,1,0.7333333333333333,1,0.945,True,True,both_correct
103,1,1,0.8466666666666667,1,0.88,True,True,both_correct
104,1,1,0.57,1,0.88,True,True,both_correct
105,1,1,0.7,1,0.985,True,True,both_correct
106,1,1,0.6733333333333333,1,0.99,True,True,both_correct
107,1,1,0.7333333333333333,1,0.915,True,True,both_correct
108,1,1,0.6566666666666666,1,0.98,True,True,both_correct
109,1,1,0.6666666666666666,1,0.95,True,True,both_correct
110,1,1,0.66,1,0.925,True,True,both_correct
111,1,1,0.6,1,0.98,True,True,both_correct
112,1,1,0.74,1,0.905,True,True,both_correct
113,1,1,0.7566666666666667,1,0.895,True,True,both_correct
114,1,1,0.6366666666666667,1,0.915,True,True,both_correct
115,1,1,0.7333333333333333,1,0.955,True,True,both_correct
116,1,0,0.4766666666666667,1,0.675,False,True,reference_only_correct
117,1,0,0.4533333333333333,1,0.96,False,True,reference_only_correct
118,1,1,0.5233333333333333,1,0.85,True,True,both_correct
119,0,1,0.6733333333333333,0,0.35,False,True,reference_only_correct
120,0,1,0.5266666666666666,0,0.31,False,True,reference_only_correct
121,0,0,0.48333333333333334,0,0.35,True,True,both_correct
122,0,1,0.6420555555555556,0,0.098,False,True,reference_only_correct
123,0,1,0.5622878787878788,0,0.29,False,True,reference_only_correct
146,1,0,0.4766666666666667,1,0.835,False,True,reference_only_correct
147,1,1,0.5966666666666667,1,0.85,True,True,both_correct
148,1,1,0.65,1,0.98,True,True,both_correct
149,1,1,0.63,1,0.97,True,True,both_correct
150,1,1,0.52,1,0.98,True,True,both_correct
151,1,0,0.47,1,0.875,False,True,reference_only_correct
152,1,1,0.5266666666666666,1,0.965,True,True,both_correct
153,1,1,0.53,1,0.95,True,True,both_correct
154,1,1,0.54,1,0.97,True,True,both_correct
155,1,1,0.5033333333333333,1,0.98,True,True,both_correct
156,1,1,0.5666666666666667,1,0.98,True,True,both_correct
157,1,1,0.58,1,0.975,True,True,both_correct
158,1,1,0.58,0,0.4525,True,False,new_model_only_correct
159,1,1,0.62,1,0.985,True,True,both_correct
160,1,1,0.6633333333333333,1,0.965,True,True,both_correct
161,1,1,0.5933333333333334,1,1.0,True,True,both_correct
162,1,1,0.6766666666666666,1,0.8,True,True,both_correct
163,1,1,0.61,1,0.915,True,True,both_correct
164,1,1,0.66,1,0.97,True,True,both_correct
165,1,1,0.5633333333333334,1,0.92,True,True,both_correct
166,1,1,0.5566666666666666,1,0.955,True,True,both_correct
167,1,1,0.71,1,0.91,True,True,both_correct
168,1,1,0.5833333333333334,1,0.82,True,True,both_correct
169,1,1,0.5733333333333334,1,0.98,True,True,both_correct
170,1,1,0.7,1,0.905,True,True,both_correct
171,1,1,0.54,1,0.98,True,True,both_correct
172,1,1,0.7,1,0.93,True,True,both_correct
173,1,1,0.71,1,0.975,True,True,both_correct
174,1,1,0.5433333333333333,1,0.815,True,True,both_correct
175,1,1,0.53,1,0.98,True,True,both_correct
176,1,1,0.5133333333333333,1,0.925,True,True,both_correct
177,1,1,0.68,1,0.93,True,True,both_correct
178,1,1,0.5066666666666667,1,0.94,True,True,both_correct
179,1,1,0.5133333333333333,1,0.935,True,True,both_correct
180,1,1,0.6133333333333333,1,0.955,True,True,both_correct
181,1,1,0.6133333333333333,1,0.97,True,True,both_correct
182,1,1,0.69,1,1.0,True,True,both_correct
183,1,1,0.5733333333333334,1,0.985,True,True,both_correct
184,1,1,0.64,1,0.93,True,True,both_correct
185,1,0,0.5,1,0.95,False,True,reference_only_correct
186,1,1,0.6133333333333333,1,0.965,True,True,both_correct
187,1,1,0.5966666666666667,1,0.97,True,True,both_correct
188,1,1,0.78,1,0.95,True,True,both_correct
189,1,1,0.76,1,0.905,True,True,both_correct
190,1,1,0.6633333333333333,1,0.96,True,True,both_correct
191,1,1,0.5966666666666667,1,0.85,True,True,both_correct
192,1,1,0.6466666666666666,1,0.94,True,True,both_correct
193,1,1,0.8,1,0.92,True,True,both_correct
194,1,1,0.58,1,0.96,True,True,both_correct
195,1,1,0.6666666666666666,1,0.975,True,True,both_correct
196,1,0,0.44666666666666666,1,0.81,False,True,reference_only_correct
197,1,1,0.63,1,0.92,True,True,both_correct
198,1,0,0.46,1,0.98,False,True,reference_only_correct
199,0,1,0.5955555555555556,0,0.179285714286,False,True,reference_only_correct
200,0,0,0.4894444444444444,1,0.87,True,False,new_model_only_correct
201,0,1,0.511,0,0.493821428571,False,True,reference_only_correct
202,0,1,0.5195,0,0.3375,False,True,reference_only_correct
203,0,1,0.6088888888888888,0,0.264166666667,False,True,reference_only_correct
213,0,1,0.5366666666666666,1,0.845,False,False,both_wrong
214,0,1,0.6766666666666666,0,0.285,False,True,reference_only_correct
215,0,1,0.7533333333333333,1,0.915,False,False,both_wrong
216,0,1,0.63,0,0.36,False,True,reference_only_correct
217,1,1,0.6866666666666666,1,0.99,True,True,both_correct
218,1,1,0.6066666666666667,1,0.955,True,True,both_correct
219,1,0,0.4766666666666667,1,0.965,False,True,reference_only_correct
220,1,0,0.49,1,0.93,False,True,reference_only_correct
221,1,1,0.5933333333333334,1,0.965,True,True,both_correct
222,1,1,0.52,1,0.975,True,True,both_correct
223,1,0,0.4216666666666667,1,0.835,False,True,reference_only_correct
224,1,0,0.49666666666666665,1,0.935,False,True,reference_only_correct
225,1,1,0.5733333333333334,1,0.955,True,True,both_correct
226,1,0,0.4,1,0.885,False,True,reference_only_correct
227,1,0,0.39666666666666667,1,0.965,False,True,reference_only_correct
228,1,1,0.64,1,0.95,True,True,both_correct
229,1,1,0.63,1,0.72,True,True,both_correct
230,1,1,0.5733333333333334,1,0.975,True,True,both_correct
231,1,1,0.63,1,0.955,True,True,both_correct
232,1,0,0.36,1,0.81,False,True,reference_only_correct
233,1,1,0.63,1,0.885,True,True,both_correct
234,1,1,0.5033333333333333,1,0.89,True,True,both_correct
235,1,1,0.5466666666666666,1,0.78,True,True,both_correct
236,1,1,0.59,1,0.97,True,True,both_correct
237,1,1,0.6,1,0.88,True,True,both_correct
238,1,1,0.6,1,0.93,True,True,both_correct
239,1,1,0.6266666666666667,1,0.95,True,True,both_correct
240,1,1,0.63,1,0.79,True,True,both_correct
241,1,0,0.48333333333333334,1,0.875,False,True,reference_only_correct
242,1,1,0.5666666666666667,1,0.89,True,True,both_correct
243,1,1,0.5866666666666667,1,0.925,True,True,both_correct
244,1,1,0.59,1,0.95,True,True,both_correct
245,1,0,0.42333333333333334,1,0.74,False,True,reference_only_correct
246,1,1,0.5366666666666666,1,0.56,True,True,both_correct
247,1,1,0.55,1,0.97,True,True,both_correct
248,1,0,0.3466666666666667,1,0.97,False,True,reference_only_correct
249,1,1,0.5733333333333334,0,0.495,True,False,new_model_only_correct
250,1,0,0.4266666666666667,1,0.95,False,True,reference_only_correct
251,1,1,0.5566666666666666,1,0.96,True,True,both_correct
252,1,0,0.45666666666666667,1,0.965,False,True,reference_only_correct
253,1,0,0.41333333333333333,1,0.955,False,True,reference_only_correct
254,1,1,0.5366666666666666,1,0.9,True,True,both_correct
255,1,1,0.5833333333333334,1,0.975,True,True,both_correct
256,1,1,0.5166666666666667,1,0.95,True,True,both_correct
257,1,1,0.6866666666666666,1,0.95,True,True,both_correct
258,1,0,0.43333333333333335,1,0.985,False,True,reference_only_correct
259,1,1,0.73,1,0.93,True,True,both_correct
260,1,1,0.6133333333333333,1,0.97,True,True,both_correct
261,1,1,0.5733333333333334,1,0.875,True,True,both_correct
276,1,1,0.5933333333333334,1,0.865,True,True,both_correct
277,1,1,0.6333333333333333,1,0.95,True,True,both_correct
278,1,0,0.44333333333333336,1,0.975,False,True,reference_only_correct
279,1,1,0.68,1,0.94,True,True,both_correct
280,1,1,0.57,1,0.88,True,True,both_correct
281,1,1,0.57,1,0.995,True,True,both_correct
282,1,0,0.44,1,0.825,False,True,reference_only_correct
283,1,0,0.4866666666666667,1,0.905,False,True,reference_only_correct
284,1,0,0.4266666666666667,1,0.785,False,True,reference_only_correct
285,1,0,0.42,1,0.745,False,True,reference_only_correct
286,1,0,0.45666666666666667,1,0.96,False,True,reference_only_correct
287,1,0,0.5,1,0.91,False,True,reference_only_correct
288,1,0,0.4633333333333333,1,0.84,False,True,reference_only_correct
289,1,1,0.73,1,0.79,True,True,both_correct
290,1,1,0.62,1,0.95,True,True,both_correct
291,1,0,0.43333333333333335,1,0.89,False,True,reference_only_correct
292,1,1,0.5766666666666667,1,0.98,True,True,both_correct
293,1,0,0.3933333333333333,1,0.945,False,True,reference_only_correct
294,1,1,0.5133333333333333,1,0.925,True,True,both_correct
295,1,0,0.44333333333333336,1,0.94,False,True,reference_only_correct
296,1,0,0.4766666666666667,1,0.885,False,True,reference_only_correct
297,1,0,0.44333333333333336,1,0.905,False,True,reference_only_correct
298,1,1,0.5333333333333333,1,0.7,True,True,both_correct
299,1,1,0.5766666666666667,1,0.98,True,True,both_correct
300,1,1,0.5666666666666667,1,0.96,True,True,both_correct
301,1,0,0.4633333333333333,1,0.92,False,True,reference_only_correct
302,1,1,0.5366666666666666,1,0.925,True,True,both_correct
303,1,1,0.6266666666666667,1,0.93,True,True,both_correct
304,1,1,0.63,1,0.98,True,True,both_correct
305,1,1,0.5133333333333333,1,0.975,True,True,both_correct
306,1,0,0.49666666666666665,1,0.99,False,True,reference_only_correct
307,1,1,0.5133333333333333,1,0.92,True,True,both_correct
308,1,1,0.6666666666666666,1,0.925,True,True,both_correct
309,1,1,0.5266666666666666,1,0.95,True,True,both_correct
310,1,1,0.54,1,0.935,True,True,both_correct
311,1,1,0.61,1,0.915,True,True,both_correct
312,1,1,0.53,1,0.98,True,True,both_correct
313,1,0,0.43,1,0.915,False,True,reference_only_correct
314,1,1,0.575,1,0.914333333333,True,True,both_correct
315,1,0,0.37333333333333335,0,0.4525,False,False,both_wrong
316,1,0,0.4533333333333333,1,0.8,False,True,reference_only_correct
317,1,0,0.4033333333333333,1,0.845,False,True,reference_only_correct
318,1,1,0.5433333333333333,1,0.855,True,True,both_correct
319,1,1,0.59,1,0.85,True,True,both_correct
335,1,0,0.47333333333333333,1,0.93,False,True,reference_only_correct
336,1,0,0.48333333333333334,1,0.92,False,True,reference_only_correct
337,1,1,0.5766666666666667,1,0.98,True,True,both_correct
338,1,1,0.5733333333333334,1,0.905,True,True,both_correct
339,1,1,0.5533333333333333,1,0.77,True,True,both_correct
340,1,0,0.4533333333333333,1,0.855,False,True,reference_only_correct
341,1,1,0.6294444444444444,1,0.93,True,True,both_correct
342,1,1,0.6333333333333333,1,0.99,True,True,both_correct
343,1,0,0.4666666666666667,1,0.905,False,True,reference_only_correct
344,1,1,0.6033333333333334,1,0.935,True,True,both_correct
345,1,1,0.56,1,0.595,True,True,both_correct
346,1,0,0.45666666666666667,1,0.51,False,True,reference_only_correct
347,1,1,0.5566666666666666,1,0.765,True,True,both_correct
348,1,1,0.6933333333333334,1,0.545,True,True,both_correct
349,1,0,0.5,1,0.95,False,True,reference_only_correct
350,1,1,0.5066666666666667,1,0.92,True,True,both_correct
351,1,1,0.71,1,0.98,True,True,both_correct
352,1,1,0.5866666666666667,1,0.88,True,True,both_correct
353,1,1,0.6733333333333333,1,0.9,True,True,both_correct
354,1,1,0.5433333333333333,1,0.96,True,True,both_correct
355,1,1,0.62,1,0.975,True,True,both_correct
356,1,1,0.5433333333333333,1,0.96,True,True,both_correct
357,1,1,0.6033333333333334,1,0.965,True,True,both_correct
358,1,1,0.5066666666666667,1,0.96,True,True,both_correct
359,1,1,0.68,1,0.915,True,True,both_correct
360,1,1,0.5366666666666666,1,0.975,True,True,both_correct
361,1,0,0.47333333333333333,1,0.99,False,True,reference_only_correct
362,1,1,0.54,1,0.64,True,True,both_correct
363,1,1,0.5666666666666667,1,0.95,True,True,both_correct
364,1,0,0.4266666666666667,1,0.835,False,True,reference_only_correct
365,1,0,0.48333333333333334,1,0.735,False,True,reference_only_correct
366,1,0,0.2866666666666667,1,0.825,False,True,reference_only_correct
367,1,1,0.61,1,0.845,True,True,both_correct
368,1,1,0.6466666666666666,1,0.995,True,True,both_correct
369,1,0,0.47333333333333333,1,0.915,False,True,reference_only_correct
370,1,1,0.6555555555555556,1,0.915,True,True,both_correct
371,1,1,0.5133333333333333,1,0.88,True,True,both_correct
372,1,1,0.5566666666666666,1,0.985,True,True,both_correct
373,1,0,0.44666666666666666,1,0.83,False,True,reference_only_correct
374,1,1,0.54,1,0.965,True,True,both_correct
375,1,0,0.4766666666666667,1,0.91,False,True,reference_only_correct
376,0,1,0.68,0,0.27,False,True,reference_only_correct
377,0,0,0.4666666666666667,1,0.75,True,False,new_model_only_correct
378,0,1,0.5166666666666667,1,0.6,False,False,both_wrong
379,0,1,0.5433333333333333,0,0.38,False,True,reference_only_correct
392,0,1,0.7966666666666666,0,0.325,False,True,reference_only_correct
393,0,1,0.5333333333333333,1,0.875,False,False,both_wrong
394,0,1,0.6866666666666666,0,0.285,False,True,reference_only_correct
395,0,1,0.65,0,0.255,False,True,reference_only_correct
396,1,0,0.4866666666666667,1,0.775,False,True,reference_only_correct
397,1,1,0.5266666666666666,1,0.915,True,True,both_correct
398,1,1,0.6,1,0.955,True,True,both_correct
399,1,0,0.43666666666666665,1,0.95,False,True,reference_only_correct
400,1,1,0.64,1,0.945,True,True,both_correct
401,1,0,0.48,1,0.97,False,True,reference_only_correct
402,1,0,0.4766666666666667,1,0.94,False,True,reference_only_correct
403,1,1,0.64,1,0.92,True,True,both_correct
404,1,1,0.72,1,0.876333333333,True,True,both_correct
405,1,1,0.59,1,0.9,True,True,both_correct
406,1,1,0.7166666666666667,1,0.975,True,True,both_correct
407,1,1,0.6677777777777777,1,0.95,True,True,both_correct
408,1,1,0.64,1,0.93,True,True,both_correct
409,1,0,0.3333333333333333,1,0.881666666667,False,True,reference_only_correct
410,1,1,0.5166666666666667,1,0.96,True,True,both_correct
411,1,0,0.36666666666666664,1,0.965,False,True,reference_only_correct
412,1,0,0.47333333333333333,1,0.955,False,True,reference_only_correct
413,1,1,0.5916666666666667,1,0.71,True,True,both_correct
414,1,1,0.51,1,0.96,True,True,both_correct
415,1,1,0.6733333333333333,1,0.885,True,True,both_correct
416,1,1,0.5966666666666667,1,0.735,True,True,both_correct
417,1,0,0.43333333333333335,1,0.81,False,True,reference_only_correct
418,1,0,0.35333333333333333,1,0.645,False,True,reference_only_correct
419,1,1,0.56,1,0.895,True,True,both_correct
420,1,0,0.4766666666666667,1,0.955,False,True,reference_only_correct
421,1,1,0.6533333333333333,1,0.97,True,True,both_correct
422,1,0,0.41,1,0.815,False,True,reference_only_correct
423,1,0,0.32666666666666666,1,0.94,False,True,reference_only_correct
424,1,1,0.5733333333333334,1,0.945,True,True,both_correct
425,1,1,0.6866666666666666,1,0.875,True,True,both_correct
426,1,1,0.5666666666666667,1,0.975,True,True,both_correct
427,1,1,0.59,1,0.715,True,True,both_correct
428,1,1,0.5966666666666667,1,0.755,True,True,both_correct
429,1,1,0.62,1,0.99,True,True,both_correct
430,0,0,0.45,1,0.835,True,False,new_model_only_correct
431,0,1,0.5166666666666667,0,0.31,False,True,reference_only_correct
432,0,0,0.4633333333333333,0,0.34,True,True,both_correct
440,0,1,0.6366666666666667,1,0.865,False,False,both_wrong
441,0,1,0.54,0,0.19,False,True,reference_only_correct
442,0,1,0.6366666666666667,1,0.685,False,False,both_wrong
443,0,1,0.5266666666666666,1,0.915,False,False,both_wrong
444,0,1,0.56,0,0.285,False,True,reference_only_correct
445,0,1,0.55,0,0.38,False,True,reference_only_correct
446,0,1,0.6133333333333333,0,0.32,False,True,reference_only_correct
447,1,1,0.5266666666666666,1,0.985,True,True,both_correct
448,1,0,0.39666666666666667,1,0.99,False,True,reference_only_correct
449,1,1,0.58,1,0.98,True,True,both_correct
450,1,1,0.5833333333333334,1,0.775,True,True,both_correct
451,1,0,0.4533333333333333,1,0.91,False,True,reference_only_correct
452,1,1,0.58,1,0.97,True,True,both_correct
453,1,0,0.47333333333333333,1,0.735,False,True,reference_only_correct
454,1,1,0.5266666666666666,1,0.795,True,True,both_correct
455,1,0,0.36333333333333334,1,0.945,False,True,reference_only_correct
456,1,0,0.4266666666666667,1,0.885,False,True,reference_only_correct
457,1,1,0.5466666666666666,1,0.955,True,True,both_correct
458,1,1,0.5533333333333333,1,0.985,True,True,both_correct
459,1,1,0.5933333333333334,1,0.959166666667,True,True,both_correct
460,1,0,0.49333333333333335,1,0.945,False,True,reference_only_correct
461,1,1,0.5933333333333334,1,0.955,True,True,both_correct
462,1,0,0.38,1,0.685,False,True,reference_only_correct
463,1,0,0.49,1,0.715,False,True,reference_only_correct
464,1,1,0.5333333333333333,1,0.96,True,True,both_correct
465,1,1,0.6266666666666667,1,0.75,True,True,both_correct
466,1,1,0.6266666666666667,1,0.99,True,True,both_correct
467,1,1,0.76,1,0.89,True,True,both_correct
468,0,0,0.44666666666666666,1,0.878333333333,True,False,new_model_only_correct
469,0,1,0.5833333333333334,1,0.61,False,False,both_wrong
470,0,0,0.4033333333333333,0,0.27,True,True,both_correct
471,0,0,0.45,1,0.85,True,False,new_model_only_correct
472,0,1,0.5366666666666666,0,0.28,False,True,reference_only_correct
473,0,0,0.34,1,0.645,True,False,new_model_only_correct
474,0,0,0.33,0,0.29,True,True,both_correct
475,0,0,0.45666666666666667,0,0.195,True,True,both_correct
476,0,0,0.36333333333333334,0,0.335,True,True,both_correct
477,0,1,0.58,1,0.77,False,False,both_wrong
478,0,1,0.62,0,0.415,False,True,reference_only_correct
479,0,0,0.4266666666666667,1,0.9,True,False,new_model_only_correct
480,0,0,0.47333333333333333,0,0.205,True,True,both_correct
503,1,1,0.65,1,0.99,True,True,both_correct
504,1,1,0.51,1,0.86,True,True,both_correct
505,1,1,0.56,1,0.903333333333,True,True,both_correct
506,1,1,0.5866666666666667,1,0.905,True,True,both_correct
507,1,1,0.61,1,0.87,True,True,both_correct
508,1,0,0.4766666666666667,1,0.9,False,True,reference_only_correct
509,1,1,0.5733333333333334,1,0.94,True,True,both_correct
510,1,0,0.38,1,0.94,False,True,reference_only_correct
511,1,1,0.58,1,0.87,True,True,both_correct
512,1,1,0.5233333333333333,1,0.88,True,True,both_correct
513,1,1,0.59,1,0.89,True,True,both_correct
514,0,1,0.72,0,0.32,False,True,reference_only_correct
515,0,1,0.7366666666666667,0,0.415,False,True,reference_only_correct
516,0,1,0.6166666666666667,0,0.355,False,True,reference_only_correct
517,0,1,0.5911666666666667,1,0.530166666667,False,False,both_wrong
518,0,1,0.6420555555555556,0,0.098,False,True,reference_only_correct
545,0,1,0.5433333333333333,0,0.295,False,True,reference_only_correct
546,0,0,0.4,1,0.74,True,False,new_model_only_correct
547,0,0,0.28,0,0.325,True,True,both_correct
548,0,0,0.45666666666666667,0,0.15,True,True,both_correct
549,0,0,0.39666666666666667,1,0.75,True,False,new_model_only_correct
550,0,1,0.5033333333333333,0,0.255,False,True,reference_only_correct
564,0,0,0.23333333333333334,1,0.625,True,False,new_model_only_correct
565,0,0,0.21,0,0.325,True,True,both_correct
566,0,0,0.44,0,0.29,True,True,both_correct
567,0,0,0.44333333333333336,0,0.21,True,True,both_correct
568,0,1,0.6766666666666666,0,0.33,False,True,reference_only_correct
569,0,1,0.7666666666666667,0,0.335,False,True,reference_only_correct
597,0,0,0.48,1,0.91,True,False,new_model_only_correct
598,0,0,0.35333333333333333,0,0.325,True,True,both_correct
599,1,1,0.6433333333333333,1,0.995,True,True,both_correct
600,1,1,0.6966666666666667,1,0.975,True,True,both_correct
601,0,1,0.6339126984126984,0,0.482333333333,False,True,reference_only_correct
602,0,1,0.5120555555555556,0,0.194722222222,False,True,reference_only_correct
605,0,1,0.6966666666666667,0,0.26,False,True,reference_only_correct
606,0,0,0.49666666666666665,0,0.29,True,True,both_correct
607,0,1,0.5566666666666666,0,0.22,False,True,reference_only_correct
608,0,1,0.5433333333333333,0,0.23,False,True,reference_only_correct
609,0,1,0.6766666666666666,0,0.253,False,True,reference_only_correct
610,0,1,0.5766666666666667,0,0.2175,False,True,reference_only_correct
611,1,0,0.49,1,0.865,False,True,reference_only_correct
612,1,1,0.5733333333333334,1,0.905,True,True,both_correct
613,1,1,0.5033333333333333,1,0.93,True,True,both_correct
614,1,1,0.65,1,0.865,True,True,both_correct
615,1,1,0.5966666666666667,1,0.995,True,True,both_correct
616,1,1,0.7366666666666667,1,0.985,True,True,both_correct
617,1,1,0.73,1,0.95,True,True,both_correct
618,1,1,0.7266666666666667,1,0.935,True,True,both_correct
619,1,1,0.5633333333333334,1,0.965,True,True,both_correct
620,1,1,0.6733333333333333,1,0.81,True,True,both_correct
621,1,1,0.6333333333333333,1,0.965,True,True,both_correct
622,1,1,0.5933333333333334,1,0.945,True,True,both_correct
623,1,0,0.48333333333333334,1,0.926666666667,False,True,reference_only_correct
624,1,1,0.7433333333333333,1,0.98,True,True,both_correct
625,1,1,0.62,1,0.975,True,True,both_correct
626,1,1,0.5666666666666667,1,0.995,True,True,both_correct
627,1,1,0.6066666666666667,1,0.98,True,True,both_correct
628,1,0,0.4766666666666667,1,0.89,False,True,reference_only_correct
629,1,1,0.7633333333333333,1,0.89,True,True,both_correct
630,1,1,0.6733333333333333,1,0.905,True,True,both_correct
631,1,1,0.6166666666666667,1,0.905,True,True,both_correct
632,1,1,0.6533333333333333,1,0.93,True,True,both_correct
633,1,1,0.6766666666666666,1,0.955,True,True,both_correct
634,1,1,0.7266666666666667,1,0.96,True,True,both_correct
635,1,1,0.63,1,0.96,True,True,both_correct
636,1,1,0.7466666666666667,1,0.98,True,True,both_correct
637,1,1,0.65,1,0.885,True,True,both_correct
638,1,0,0.45666666666666667,1,0.74,False,True,reference_only_correct
639,1,0,0.47,1,0.825,False,True,reference_only_correct
640,1,1,0.54,1,0.895,True,True,both_correct
682,1,1,0.6533333333333333,1,0.95,True,True,both_correct
